Taxonomy	SRX2199539	SRX2199670	SRX2199763	SRX2199673	SRX2199755	SRX2199636	SRX2199674	SRX2199676	SRX2199624	SRX2199553	SRX2199782	SRX2199750	SRX2199681	SRX2199775	SRX2199300	SRX2199629	SRX2199675	SRX2199552	SRX2199443	SRX2199663	ravg	SRX2199608	SRX2199470	SRX2234477	SRX2199475	SRX2234458	SRX2234572	SRX2234453	SRX2234456	SRX2234559	SRX2234523	SRX2199472	SRX2199601	SRX2199644	SRX2234520	SRX2234430	favg
None	1.311482331	0.3568158931	3.865561758	0.05528226055	0.3866852283	8.330763777	0.2210721163	0.02597139117	0.1708958603	0.6275505745	0.3949959157	2.148479732	0.178861564	0.1632735941	0.9039581553	0.1595335308	0.2819572358	1.797054112	0.1567072953	0.08729119549	1.081209676	0.2469305165	0.2466944442	0.04279583427	0.100957844	0.2901640338	0.02604915023	0.4257827526	0.03323063656	0.1130988158	0.3373627188	1.253969087	0.2541269211	0.3903013913	0.4163712238	0.07024806466	0.2832055623
Archaea	0	0	0	0	0	9.53E-06	0	1.00E-05	0	0	0	0	0	0	1.53E-05	0	0	0	0	0	1.74E-06	3.36E-05	1.40E-05	0	0	6.42E-05	0	0	0	0	0	0	0	0	4.26E-06	0	7.74E-06
Archaea;Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12E-07
Archaea;Crenarchaeota;Thermoprotei;Acidilobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus	4.89E-06	0	0	0	0	0	0	0	9.01E-06	0	0	0	0	0	3.06E-05	0	0	0	0	2.02E-05	3.24E-06	0	0	1.28E-05	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	2.56E-06
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera	1.47E-05	0	0	0	0	9.53E-06	0	0	3.60E-05	0	0	0	0	0	1.53E-05	0	0	0	0	4.05E-05	5.80E-06	2.52E-05	0	6.39E-06	0	0	2.71E-05	0	0	5.83E-05	1.54E-05	0	0	0	1.70E-05	9.68E-06	1.06E-05
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus	0	0	0	0	1.05E-05	0	0	0	1.80E-05	0	0	0	0	0	1.53E-05	0	0	0	0	0	2.19E-06	0	4.68E-06	0	0	1.28E-05	4.07E-05	0	0	0	0	0	0	0	1.28E-05	0	4.73E-06
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus	3.42E-05	0	0	0	0	3.81E-05	9.33E-06	0	9.01E-06	0	0	0	0	0	1.53E-05	0	1.08E-05	0	0	0	5.84E-06	1.68E-05	4.68E-06	0	0	0	0	0	0	2.91E-05	0	5.17E-06	0	0	4.26E-06	0	4.00E-06
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008255496613	0	1.36E-05	0	0	2.91E-05	0	0	0	0	5.53E-05	0	6.16E-05
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus	5.38E-05	0	1.32E-05	1.14E-05	1.05E-05	9.53E-06	0	1.00E-05	3.60E-05	0	0	0	0	0	0.0001223673431	2.80E-05	5.39E-05	0	0.0001069361539	2.02E-05	2.38E-05	8.41E-05	1.40E-05	5.11E-05	0.0002923821717	3.85E-05	1.36E-05	2.78E-05	0	0.0008888208917	0.0001040600613	1.55E-05	0	7.12E-05	0.0001745202332	0.0001354925818	0.0001274039255
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera	1.47E-05	0	0	0	0	0	0	0	8.11E-05	5.11E-06	0	0	0	0	9.18E-05	0	1.08E-05	0	4.58E-05	0	1.25E-05	8.41E-06	6.55E-05	0	0.0001547905615	2.57E-05	2.71E-05	0	9.75E-06	0.0003642708572	0	0	0	1.42E-05	8.51E-06	9.68E-05	5.17E-05
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus	0.02572750821	0.0008884797284	0.001109487971	0.000822550684	0.002502579804	0.01427901772	0.0005128850718	0.0009422272367	0.005962530808	0.004446658074	0.001365226025	0.001988610548	0.0009387255663	0.001475116962	0.01075303027	0.003337638919	0.003177498742	0.002364499132	0.00849378594	0.004757289179	0.00479226733	0.01053254143	0.01930326715	0.004896431524	0.002614240594	0.02396097212	0.002361934413	0.001748423505	0.001033582006	0.005187217007	0.0007168582001	0.008296894758	0.007642098559	0.005381503772	0.002915764872	0.004045421372	0.006709143419
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum	7.33E-05	0	0	0	0	0	0	0	9.01E-06	3.57E-05	1.90E-05	0	0	0	3.06E-05	0	0	0	1.53E-05	0	9.14E-06	0.0002353640544	1.87E-05	0.0001214519569	0	3.85E-05	0	0	0	0.0001165666743	0	1.03E-05	0	5.69E-05	3.41E-05	4.84E-06	4.25E-05
Archaea;Euryarchaeota	0	0	0	0	0	9.53E-06	0	0	9.01E-06	0	0	0	0	0	0	0	0	0	0	0	9.27E-07	4.20E-05	2.81E-05	0	1.72E-05	0	2.71E-05	0	0	1.46E-05	0	0	0	0.000185078172	0	0	2.09E-05
Archaea;Euryarchaeota;Aciduliprofundum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Aciduliprofundum;Aciduliprofundum boonei	0	0	0	1.14E-05	2.09E-05	0	0	0	7.21E-05	0	0	0	0	0	3.06E-05	0	2.15E-05	0	0	0	7.83E-06	8.41E-06	0	0	0.0002751832204	0	1.36E-05	0	0	0.0002185625143	0	0	0	5.69E-05	8.51E-06	4.84E-06	3.91E-05
Archaea;Euryarchaeota;Archaeoglobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
